k,Bias(x0),x1,y,d,err,ecm
1,1,6.1101,,17.592,,
2,1,5.5277,,9.1302,,
3,1,8.5186,,13.662,,
4,1,7.0032,,11.854,,
5,1,5.8598,,6.8233,,
6,1,8.3829,,11.886,,
7,1,7.4764,,4.3483,,
8,1,8.5781,,12,,
9,1,6.4862,,6.5987,,
10,1,5.0546,,3.8166,,
11,1,5.7107,,3.2522,,
12,1,14.164,,15.505,,
13,1,5.734,,3.1551,,
14,1,8.4084,,7.2258,,
15,1,5.6407,,0.71618,,
16,1,5.3794,,3.5129,,
17,1,6.3654,,5.3048,,
18,1,5.1301,,0.56077,,
19,1,6.4296,,3.6518,,
20,1,7.0708,,5.3893,,
21,1,6.1891,,3.1386,,
22,1,20.27,,21.767,,
23,1,5.4901,,4.263,,
24,1,6.3261,,5.1875,,
25,1,5.5649,,3.0825,,
26,1,18.945,,22.638,,
27,1,12.828,,13.501,,
28,1,10.957,,7.0467,,
29,1,13.176,,14.692,,
30,1,22.203,,24.147,,
31,1,5.2524,,-1.22,,
32,1,6.5894,,5.9966,,
33,1,9.2482,,12.134,,
34,1,5.8918,,1.8495,,
35,1,8.2111,,6.5426,,
36,1,7.9334,,4.5623,,
37,1,8.0959,,4.1164,,
38,1,5.6063,,3.3928,,
39,1,12.836,,10.117,,
40,1,6.3534,,5.4974,,
41,1,5.4069,,0.55657,,
42,1,6.8825,,3.9115,,
43,1,11.708,,5.3854,,
44,1,5.7737,,2.4406,,
45,1,7.8247,,6.7318,,
46,1,7.0931,,1.0463,,
47,1,5.0702,,5.1337,,
48,1,5.8014,,1.844,,
49,1,11.7,,8.0043,,
50,1,5.5416,,1.0179,,
51,1,7.5402,,6.7504,,
52,1,5.3077,,1.8396,,
53,1,7.4239,,4.2885,,
54,1,7.6031,,4.9981,,
55,1,6.3328,,1.4233,,
56,1,6.3589,,-1.4211,,
57,1,6.2742,,2.4756,,
58,1,5.6397,,4.6042,,
59,1,9.3102,,3.9624,,
60,1,9.4536,,5.4141,,
61,1,8.8254,,5.1694,,
62,1,5.1793,,-0.74279,,
63,1,21.279,,17.929,,
64,1,14.908,,12.054,,
65,1,18.959,,17.054,,
66,1,7.2182,,4.8852,,
67,1,8.2951,,5.7442,,
68,1,10.236,,7.7754,,
69,1,5.4994,,1.0173,,
70,1,20.341,,20.992,,
71,1,10.136,,6.6799,,
72,1,7.3345,,4.0259,,
73,1,6.0062,,1.2784,,
74,1,7.2259,,3.3411,,
75,1,5.0269,,-2.6807,,
76,1,6.5479,,0.29678,,
77,1,7.5386,,3.8845,,
78,1,5.0365,,5.7014,,
79,1,10.274,,6.7526,,
80,1,5.1077,,2.0576,,
81,1,5.7292,,0.47953,,
82,1,5.1884,,0.20421,,
83,1,6.3557,,0.67861,,
84,1,9.7687,,7.5435,,
85,1,6.5159,,5.3436,,
86,1,8.5172,,4.2415,,
87,1,9.1802,,6.7981,,
88,1,6.002,,0.92695,,
89,1,5.5204,,0.152,,
90,1,5.0594,,2.8214,,
91,1,5.7077,,1.8451,,
92,1,7.6366,,4.2959,,
93,1,5.8707,,7.2029,,
94,1,5.3054,,1.9869,,
95,1,8.2934,,0.14454,,
96,1,13.394,,9.0551,,
97,1,5.4369,,0.61705,,
