"bias","x1","x2","x3","x4","knowledgeBase","d","y","err","mse"
1,0,0,0,0,20801.79,0,1,-1,31.78125
1,0,0,0,1,16799.09,1,1,0,31.75
1,0,0,1,0,13599.7,2,1,1,31.75
1,0,0,1,1,12000.75,3,1,2,31.75
1,0,1,0,0,11200.15,4,1,3,31.75
1,0,1,0,1,,5,1,4,31.75
1,0,1,1,0,,6,1,5,31.75
1,0,1,1,1,,7,1,6,31.75
1,1,0,0,0,,8,1,7,31.75
1,1,0,0,1,,9,1,8,31.75
1,1,0,1,0,,10,1,9,31.75
1,1,0,1,1,,11,1,10,31.75
1,1,1,0,0,,12,1,11,31.75
1,1,1,0,1,,13,1,12,31.75
1,1,1,1,0,,14,1,13,31.75
1,1,1,1,1,,15,1,14,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
,,,,,,,,,31.75
