"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","w1","w2","w3","w4","d0","d1","d2","d3","y0","y1","y2","y3","n","err0","err1","err2","err3","mse0","mse1","mse2","mse3"
1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,-9.94,3.33,1.11,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0.25,0.35
0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,-4.01,2.7,1.72,0.8,0,0,0,1,0,0,0,1,1,0,0,0,0,0.15,0.1,0.2,0.1
1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,7.23,0.59,-13.66,-1.04,0,0,1,0,0,0,1,0,2,0,0,0,0,0.1,0.2,0.2,0
1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,-4.38,1.57,0.86,-1.45,0,0,1,1,0,0,1,1,3,0,0,0,0,0.1,0.15,0.15,0
1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2.53,-4.01,1.63,-3.72,0,1,0,0,0,1,0,0,4,0,0,0,0,0.1,0.1,0.2,0
1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1.51,-3.57,2.34,0.68,0,1,0,1,0,1,0,1,5,0,0,0,0,0.1,0.1,0.1,0
1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1.62,-1.48,2.52,2.46,0,1,1,0,0,1,1,0,6,0,0,0,0,0.15,0.1,0.1,0
1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,-6.39,0.41,-1.84,0.21,0,1,1,1,0,1,1,1,7,0,0,0,0,0.1,0.1,0.2,0
1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,15.32,1.83,-0.15,0.34,1,0,0,0,1,0,0,0,8,0,0,0,0,0.1,0.1,0.2,0
1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,-6.67,-0.41,-0.57,1.86,1,0,0,1,1,0,0,1,9,0,0,0,0,0.1,0.1,0.2,0
,,,,,,,,,,,,,,,0.51,-3.68,2.82,1.4,,,,,,,,,,,,,,0.15,0.1,0.2,0
,,,,,,,,,,,,,,,-4.85,2.49,1.43,-0.75,,,,,,,,,,,,,,0.1,0.15,0.2,0
,,,,,,,,,,,,,,,4.38,-13.29,-1.5,-0.93,,,,,,,,,,,,,,0.1,0.1,0.2,0
,,,,,,,,,,,,,,,-4.02,2.83,1,0.26,,,,,,,,,,,,,,0.1,0.1,0.2,0
,,,,,,,,,,,,,,,7.2,3.29,-1.61,0.22,,,,,,,,,,,,,,0.1,0.1,0.1,0
,,,,,,,,,,,,,,,-9.9,2.07,0.54,0.13,,,,,,,,,,,,,,0.1,0.1,0.05,0
