k,x0 (bias),x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,d0,d1,d2,d3,y0,y1,y2,y3,n,error0,error1,error2,error3,mse0,mse1,mse2,mse3,mseTotal
1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,,,,,0,,,,,,,,,
2,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,,,,,1,,,,,,,,,
3,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,,,,,2,,,,,,,,,
4,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,,,,,3,,,,,,,,,
5,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,,,,,4,,,,,,,,,
6,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,,,,,5,,,,,,,,,
7,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,,,,,6,,,,,,,,,
8,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,,,,,7,,,,,,,,,
9,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,,,,,8,,,,,,,,,
10,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,,,,,9,,,,,,,,,
